levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
inicial-1,Bienvenida al Mundo Tech,¡Hola! Bienvenidos al curso,video,5 min,1,,Introducción al mundo de la tecnología para los más pequeños,false,robotica,scratch
inicial-1,Bienvenida al Mundo Tech,¿Qué es un robot?,video,8 min,2,,Conociendo qué son los robots y dónde los encontramos,false,robotica,scratch
inicial-1,Bienvenida al Mundo Tech,Robots en nuestra vida,activity,15 min,3,,Actividad: Identificar robots en casa y la escuela,false,robotica,scratch
inicial-1,Bienvenida al Mundo Tech,Colores de la tecnología,activity,10 min,4,,Aprendemos los colores de los LEDs y componentes,false,robotica,scratch
inicial-1,Conociendo Mi Kit,Mi caja de herramientas,video,10 min,5,,Exploramos los componentes del kit inicial,false,robotica,scratch
inicial-1,Conociendo Mi Kit,LEDs mágicos,activity,15 min,6,,Encendemos nuestro primer LED,false,robotica,scratch
inicial-1,Conociendo Mi Kit,Circuito con stickers,project,20 min,7,,Proyecto: Crear un circuito decorativo con stickers conductores,false,robotica,scratch
inicial-1,Conociendo Mi Kit,Mi primer robot de papel,project,25 min,8,,Construir un robot simple con materiales reciclados,true,robotica,scratch
inicial-2,Electricidad Básica,¿Qué necesita electricidad?,video,15 min,1,,Clasificar objetos que usan electricidad. Circuito abierto vs cerrado.,false,robotica,scratch
inicial-2,Electricidad Básica,Primer Circuito con LED,activity,25 min,2,,Pegar cinta de cobre en plantilla. Colocar pila CR2032 y LED.,false,robotica,scratch
inicial-2,Circuitos Creativos,Circuito en Paralelo,activity,30 min,3,,Crear circuito con 2 LEDs. Si un LED falla el otro funciona.,false,robotica,scratch
inicial-2,Circuitos Creativos,Proyecto Arte Eléctrico,project,35 min,4,,Decorar circuito con dibujos. Agregar más LEDs de colores.,false,robotica,scratch
inicial-2,Generador Eólico,Energía Renovable,video,15 min,5,,¿De dónde viene electricidad? Energía renovable vs no renovable.,false,robotica,scratch
inicial-2,Generador Eólico,Experimentos con Viento,activity,25 min,6,,Soplar→LED enciende. Viento suave vs fuerte. LED más/menos brillante.,false,robotica,scratch
inicial-2,Introducción Robots,¿Qué es un Robot?,video,20 min,7,,Videos de robots. Robot = máquina que hace tareas sola.,false,robotica,scratch
inicial-2,Introducción Robots,Feria de Robótica,project,30 min,8,,Presentar proyectos a padres. Certificado Pequeño Ingeniero.,true,robotica,scratch
primero-egb,Robot Pintor,Base y Ruedas,activity,30 min,1,,Ensamblar base acrílica. Instalar 2 ruedas traseras con tornillos.,false,robotica,scratch
primero-egb,Robot Pintor,Motor y Leva Excéntrica,activity,35 min,2,,Fijar motor en centro. Instalar leva descentrada en eje.,false,robotica,scratch
primero-egb,Robot Pintor,Soldadura Supervisada,tutorial,40 min,3,,Soldadura con cautín supervisión 1:1. Soldar portapilas→interruptor→motor.,false,robotica,scratch
primero-egb,Robot Pintor,Pruebas y Competencia,project,35 min,4,,Colocar marcador. Robot dibuja patrones al vibrar. Competencia.,false,robotica,scratch
primero-egb,Carro Jet,Concepto de Propulsión,video,20 min,5,,Acción-reacción. Ensamblar chasis. Instalar 4 ruedas.,false,robotica,scratch
primero-egb,Carro Jet,Motor y Hélice,activity,35 min,6,,Fijar motor en parte trasera. Instalar hélice bien ajustada.,false,robotica,scratch
primero-egb,Carro Jet,Circuito Eléctrico Jet,tutorial,40 min,7,,Soldadura del circuito. Motor gira→hélice empuja aire.,false,robotica,scratch
primero-egb,Carro Jet,Carreras y Conceptos,activity,30 min,8,,Pista de 3 metros. Competencia velocidad. Intro IA.,false,robotica,scratch
primero-egb,Robot Perro,Biomimética,video,20 min,9,,Bio(vida)+Mímesis(imitar). Cómo caminan perros.,false,robotica,scratch
primero-egb,Robot Perro,Mecanismo de Caminata,activity,40 min,10,,Motor central con 4 levas desfasadas 90°. Conectar a patas.,false,robotica,scratch
primero-egb,Robot Perro,Circuito y Decoración,tutorial,35 min,11,,Soldar circuito. Decorar: ojos cola de cartulina nariz.,false,robotica,scratch
primero-egb,Robot Perro,Exposición Final,project,45 min,12,,Presentar 3 robots a padres. Explicar funcionamiento. Certificados.,true,robotica,scratch
segundo-egb,Pez Robótico,Movimiento Ondulatorio,video,20 min,1,,Cómo nadan peces (cola se mueve lado a lado).,false,robotica,scratch
segundo-egb,Pez Robótico,Motor y Mecanismo,activity,35 min,2,,Motor genera oscilación. Barra conecta motor a cola.,false,robotica,scratch
segundo-egb,Pez Robótico,Impermeabilización,tutorial,40 min,3,,Sellar compartimento motor con silicona. Soldar circuito.,false,robotica,scratch
segundo-egb,Pez Robótico,Pruebas en Agua,project,35 min,4,,Piscina inflable. ¿Flota? ¿Se mueve? Competencia de natación.,false,robotica,scratch
segundo-egb,Lámpara Moderna,Diseño y Planificación,video,20 min,5,,Tipos de lámparas. Boceto personal. Ensamblar estructura.,false,robotica,scratch
