levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
inicial-1,Robots que Aprenden,Bienvenida al mundo de la IA,video,8 min,1,,Introducción al curso de Inteligencia Artificial,false,ia,scratch
inicial-1,Robots que Aprenden,¿Qué es un robot inteligente?,video,10 min,2,,Diferencia entre robot normal y robot que piensa,false,ia,scratch
inicial-1,Robots que Aprenden,Robots que reconocen caras,activity,15 min,3,,Juego con títere que reconoce fotos de familia,false,ia,scratch
inicial-1,Robots que Aprenden,Mi robot favorito,activity,12 min,4,,Dibujar un robot inteligente,false,ia,scratch
inicial-1,Robots que Escuchan,Robots que entienden palabras,video,10 min,5,,Asistentes de voz Alexa Google,false,ia,scratch
inicial-1,Robots que Escuchan,Dar órdenes al robot,activity,20 min,6,,Juego de roles: niño es robot recibe comandos,false,ia,scratch
inicial-1,Robots que Escuchan,Simón dice robot,activity,15 min,7,,Juego Simón dice con comandos de robot,false,ia,scratch
inicial-1,Robots que Ven,Robots con ojos,video,10 min,8,,Cámaras como ojos del robot,false,ia,scratch
inicial-1,Robots que Ven,Clasificar colores,activity,15 min,9,,Clasificar objetos por color como robot,false,ia,scratch
inicial-1,Robots que Ven,Buscar y encontrar,activity,15 min,10,,Robot encuentra objetos específicos,false,ia,scratch
inicial-1,Mi Robot Amigo,Diseñar mi robot,activity,20 min,11,,Planificar habilidades del robot,false,ia,scratch
inicial-1,Mi Robot Amigo,Dibujar mi robot,project,25 min,12,,Dibujar robot con habilidad especial,false,ia,scratch
inicial-1,Mi Robot Amigo,Presentación,activity,20 min,13,,Presentar robot a la clase,true,ia,scratch
inicial-2,Decisiones Simples,Bienvenida Inicial 2,video,8 min,1,,Introducción al nuevo año,false,ia,scratch
inicial-2,Decisiones Simples,Si llueve uso paraguas,video,12 min,2,,Concepto si entonces,false,ia,scratch
inicial-2,Decisiones Simples,El robot que decide,activity,20 min,3,,Tarjetas con situaciones,false,ia,scratch
inicial-2,Decisiones Simples,Juego de decisiones,activity,18 min,4,,Practicar decisiones como robot,false,ia,scratch
inicial-2,Patrones,Encontrar patrones,video,10 min,5,,Secuencias de colores y formas,false,ia,scratch
inicial-2,Patrones,Completar secuencias,activity,25 min,6,,Completar patrones con bloques,false,ia,scratch
inicial-2,Patrones,Crear mis patrones,activity,20 min,7,,Inventar patrones propios,false,ia,scratch
inicial-2,Clasificación,Agrupar objetos,video,12 min,8,,Robots que clasifican,false,ia,scratch
inicial-2,Clasificación,Juego de clasificación,activity,25 min,9,,Clasificar objetos del aula,false,ia,scratch
inicial-2,Clasificación,Robot clasificador,activity,20 min,10,,Niño es robot clasificador,false,ia,scratch
inicial-2,Robot Clasificador,Diseñar clasificador,activity,20 min,11,,Planificar robot clasificador,false,ia,scratch
inicial-2,Robot Clasificador,Construir clasificador,project,30 min,12,,Robot de cartón clasificador,false,ia,scratch
inicial-2,Robot Clasificador,Feria de robots,activity,25 min,13,,Presentación a padres,true,ia,scratch
primero-egb,Secuencias,Bienvenida 1° EGB,video,10 min,1,,Introducción al pensamiento computacional,false,ia,scratch
primero-egb,Secuencias,¿Qué es una secuencia?,video,15 min,2,,Pasos ordenados para hacer cosas,false,ia,scratch
primero-egb,Secuencias,Ordenar pasos,activity,25 min,3,,Tarjetas desordenadas para ordenar,false,ia,scratch
primero-egb,Secuencias,Secuencias en la vida,activity,20 min,4,,Identificar secuencias diarias,false,ia,scratch
primero-egb,Secuencias,Mi rutina diaria,project,30 min,5,,Dibujar rutina matutina en orden,false,ia,scratch
primero-egb,Algoritmos,Instrucciones para robots,video,15 min,6,,Algoritmo es una receta,false,ia,scratch
primero-egb,Algoritmos,Robot humano,activity,30 min,7,,Dar instrucciones a compañero robot,false,ia,scratch
primero-egb,Algoritmos,Laberinto en papel,activity,25 min,8,,Escribir instrucciones con flechas,false,ia,scratch
primero-egb,Algoritmos,Programar al profesor,activity,25 min,9,,Dar instrucciones al profesor,false,ia,scratch
primero-egb,Scratch Jr,Conociendo Scratch Jr,tutorial,20 min,10,,Interfaz y bloques básicos,false,ia,scratch
