levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
cuarto-egb,Fundamentos de Electrónica,Bienvenida al mundo de la electrónica,video,15 min,1,https://youtube.com/watch?v=example1,"¡Bienvenido al fascinante mundo de la electrónica! En esta lección aprenderás qué es la electricidad, cómo fluye a través de los circuitos y por qué es la base de toda la tecnología moderna. Descubrirás cómo los electrones viajan por los cables como pequeños mensajeros llevando energía.",false,robotica,tinkercad
cuarto-egb,Fundamentos de Electrónica,¿Qué es un circuito eléctrico?,video,20 min,2,https://youtube.com/watch?v=example2,"Un circuito es como una autopista para la electricidad. Tiene un inicio (la fuente de energía), un camino (los cables) y un destino (el componente que queremos encender). Aprenderás sobre circuitos abiertos y cerrados, y por qué un interruptor puede controlar la luz de tu habitación.",false,robotica,tinkercad
cuarto-egb,Fundamentos de Electrónica,Componentes básicos: Resistencias y LEDs,tutorial,25 min,3,,"Conoce los componentes más importantes: Las RESISTENCIAS son como guardias de tráfico que controlan cuánta electricidad pasa. Los LEDs son luces especiales que brillan cuando la electricidad los atraviesa. Aprenderás a leer los colores de las resistencias y a conectar LEDs sin quemarlos.",false,robotica,tinkercad
cuarto-egb,Fundamentos de Electrónica,Mi primer circuito en Tinkercad,tutorial,30 min,4,,"¡Manos a la obra! Usaremos Tinkercad Circuits para crear tu primer circuito virtual. Conectarás una batería, una resistencia y un LED. Verás cómo la simulación te muestra si tu circuito funciona correctamente antes de construirlo en la vida real.",false,robotica,tinkercad
cuarto-egb,Fundamentos de Electrónica,Proyecto: Semáforo LED,project,40 min,5,,"Construye un semáforo con 3 LEDs (rojo, amarillo, verde). Aprenderás a calcular las resistencias correctas para cada LED y a conectarlos en paralelo. Este proyecto te enseña cómo funcionan los semáforos reales de tu ciudad.",false,robotica,tinkercad
cuarto-egb,Sensores y Entradas,¿Qué es un sensor?,video,15 min,6,,"Los sensores son los 'sentidos' de los robots. Así como tú tienes ojos para ver y oídos para escuchar, los robots tienen sensores para detectar luz, temperatura, movimiento y mucho más. Descubre cómo los sensores convierten el mundo real en señales eléctricas.",false,robotica,tinkercad
cuarto-egb,Sensores y Entradas,El pulsador: Tu primer sensor,tutorial,25 min,7,,"El pulsador es el sensor más simple: detecta cuando lo presionas. Aprenderás sobre circuitos pull-up y pull-down, y por qué necesitamos resistencias especiales para que el pulsador funcione correctamente.",false,robotica,tinkercad
cuarto-egb,Sensores y Entradas,Sensor de luz (LDR),tutorial,25 min,8,,"El LDR (Light Dependent Resistor) cambia su resistencia según la cantidad de luz que recibe. Es como el ojo de un robot. Construirás un circuito que enciende un LED automáticamente cuando oscurece.",false,robotica,tinkercad
cuarto-egb,Sensores y Entradas,Proyecto: Lámpara automática,project,45 min,9,,"Crea una lámpara inteligente que se enciende sola cuando hay poca luz, igual que las luces de la calle. Combinarás todo lo aprendido: LEDs, resistencias, LDR y lógica de circuitos.",false,robotica,tinkercad
cuarto-egb,Introducción a Arduino,¿Qué es un microcontrolador?,video,20 min,10,,"Un microcontrolador es como el cerebro de un robot. Es una pequeña computadora que puede tomar decisiones basándose en lo que detectan los sensores. Arduino es el microcontrolador más popular para aprender, usado por millones de estudiantes en todo el mundo.",false,robotica,tinkercad
