levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,images
sexto-egb,Módulo 1: Programación con Robots,Prueba de entrada - Robótica,activity,15 min,1,,"Antes de comenzar nuestro viaje por el mundo de la robótica, vamos a descubrir cuánto sabes.

**Objetivos:**
- Identificar conocimientos previos sobre robótica
- Familiarizarte con conceptos básicos de programación
- Conocer el robot Edison y EdScratch

**Preguntas de ejemplo:**
1. ¿Qué es EdScratch? (Lenguaje de programación basado en bloques)
2. ¿Qué hace un sensor infrarrojo? (Detecta obstáculos)
3. ¿Qué es Scratch? (Lenguaje visual creado por MIT)

💡 **Tip:** No te preocupes si no conoces todas las respuestas. ¡Aprenderemos juntos!",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Introducción a EdScratch,video,20 min,2,,"EdScratch es un lenguaje de programación visual diseñado especialmente para el robot Edison. Funciona con bloques que se conectan como piezas de LEGO.

**¿Qué aprenderás?**
- Qué es la programación por bloques
- Cómo funciona EdScratch
- La interfaz del programa
- Tus primeros bloques de código

**Conceptos clave:**
- **Bloque:** Instrucción visual que le dice al robot qué hacer
- **Programa:** Conjunto de bloques conectados
- **Evento:** Acción que inicia el programa

🎯 **Actividad:** Ingresa a https://educatemas.com/Scb01 y explora la interfaz",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Conociendo el Robot Edison,video,15 min,3,,"Edison es un robot educativo compacto y versátil. ¡Vamos a conocer todas sus partes!

**Componentes del Edison:**
- **LEDs rojos:** Izquierdo y derecho, indican estado
- **LED infrarrojo:** Emite luz invisible para detectar obstáculos
- **Sensores de luz:** Detectan claridad/oscuridad
- **Botón grabar:** Para cargar programas
- **Motores:** Mueven las ruedas
- **Altavoz:** Emite sonidos y pitidos

**¿Qué es la luz infrarroja?**
La luz infrarroja es invisible para nosotros pero los sensores la detectan. Se usa para detectar obstáculos y en controles remotos.

🔬 **Experimento:** Apunta un control remoto de TV hacia la cámara de tu celular y presiona un botón. ¡Verás la luz infrarroja!",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Interfaz de EdScratch,tutorial,20 min,4,,"Vamos a explorar cada parte de la interfaz de EdScratch.

**Áreas de la interfaz:**
1. **Paleta de bloques:** Izquierda - todos los bloques disponibles
2. **Área de programación:** Centro - donde armas tu código
3. **Menú superior:** Guardar, cargar, programar Edison
4. **Botón Program Edison:** Envía el código al robot

**Categorías de bloques:**
- 🟡 Eventos: Inicio del programa
- 🔵 Movimiento: Avanzar, girar, detenerse
- 🟢 Sonido: Pitidos y melodías
- 🟣 Luz: Encender/apagar LEDs
- 🟠 Control: Repetir, esperar, condiciones
- 🔴 Sensores: Detectar obstáculos, luz

🎯 **Práctica:** Abre EdScratch, arrastra el bloque Start, conecta un bloque beep y drive forward. ¡Tu primer programa!",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Primer programa con Edison,activity,25 min,5,,"¡Es hora de programar! Crearemos un programa que haga que Edison emita tres pitidos y luego avance.

**Programa paso a paso:**
1. Arrastra el bloque **Start**
2. Agrega **repeat (3)**
3. Dentro del repeat: **beep** y **wait 0.5 sec**
4. Después del repeat: **turn obstacle detection beam on**
5. Finalmente: **drive forward at speed 5**

**Cargar al Edison:**
1. Conecta el cable EdComm al Edison y a tu computador
2. Sube el volumen de tu computador al máximo
3. Presiona el botón redondo del Edison una vez
4. Haz clic en Program Edison

💡 **Tip:** Si el programa no carga, verifica que el volumen esté al 100%.",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Edison en el laberinto,activity,30 min,6,,"Programaremos a Edison para que avance hasta encontrar un obstáculo, encienda sus LEDs y emita un pitido.

**Programa:**
- Start → turn obstacle detection beam on
- repeat until obstacle detected anywhere
  - set both motors to drive forward at speed 5
- stop both motors
- turn left LED on / turn right LED on
- beep

**Conceptos nuevos:**
- **repeat until:** Repite hasta que algo suceda
- **obstacle detected:** El sensor detecta un obstáculo
- **stop both motors:** Detiene el movimiento

🎯 **Desafío:** Crea un laberinto con libros o cajas y prueba tu programa.",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Evasión de obstáculos,activity,30 min,7,,"Ahora haremos que Edison no solo detecte obstáculos, sino que los evite girando automáticamente.

**Lógica del programa:**
1. Si detecta obstáculo → para, gira 90°
2. Si no hay obstáculo → sigue avanzando
3. Repite infinitamente

**Programa mejorado:**
- forever loop con if obstacle detected
- Al detectar: stop, beep, LEDs on, spin left 90°, LEDs off
- Siempre: drive forward at speed 5

🎯 **Desafío:** Modifica el ángulo de giro. ¿Qué pasa con 45°? ¿Y con 180°?",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Conectar Edison al computador,tutorial,15 min,8,,"Guía paso a paso para conectar tu Edison y cargar programas correctamente.

**Pasos de conexión:**
1. Conecta el cable EdComm al puerto de audio
2. Conecta el otro extremo al Edison (puerto lateral)
3. Sube el volumen de tu computador al 100%
4. Presiona el botón redondo del Edison una vez
5. En EdScratch, haz clic en Program Edison
6. Espera Ready y haz clic en Program Edison

**Solución de problemas:**
- **No carga:** Verifica el volumen al máximo
- **Error de conexión:** Revisa que el cable esté bien conectado
- **Edison no responde:** Cambia las baterías

💡 **Tip:** El Edison usa sonido para recibir programas. Por eso necesitas el volumen al máximo.",false,robotica,
sexto-egb,Módulo 1: Programación con Robots,Práctica: Carrera de evasión,project,40 min,9,,"¡Competencia en equipos! Programarán a Edison para completar una pista de obstáculos.

**Materiales:**
- Robot Edison por equipo
- Cinta adhesiva para la pista
- Obstáculos (cajas, bloques, botellas)
- Cronómetro

**Reglas:**
1. El robot debe ir de inicio a meta
2. Si choca, se penaliza con +5 segundos
3. Gana el equipo con menor tiempo total

**Procedimiento:**
1. Diseñen la pista con curvas y rectas
2. Coloquen obstáculos estratégicamente
3. Programen a Edison para evadir obstáculos
4. Practiquen y mejoren el programa
5. ¡Compitan!

**Reflexión:** ¿Qué tan eficiente fue tu programa? ¿Cómo podrías mejorarlo?",false,robotica,
sexto-egb,Módulo 1: Programación con Robots II,Figuras geométricas con Edison,video,20 min,10,,"En esta unidad, Edison se convertirá en un artista robótico. Aprenderemos a programarlo para dibujar figuras geométricas precisas.

**¿Qué aprenderás?**
- Relación entre ángulos y figuras
- Programación de movimientos precisos
- Uso de variables para modificar figuras

**Figuras que dibujaremos:**
- Cuadrado (4 lados, ángulos de 90°)
- Triángulo equilátero (3 lados, ángulos de 120°)
- Rectángulo (4 lados, 2 pares diferentes)

**Concepto clave - Ángulo externo:**
Fórmula: Ángulo de giro = 360° ÷ número de lados

💡 **Tip:** Para un cuadrado giramos 90°, para un triángulo 120°, para un hexágono 60°.",false,robotica,
