levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId
inicial-1,Bienvenida al Mundo Tech,¡Hola! Bienvenidos al curso,video,5 min,1,https://www.youtube.com/watch?v=8wHJjLMnikU,"¡Bienvenidos pequeños exploradores! En este curso descubriremos juntos el mágico mundo de la tecnología.",false,robotica
inicial-1,Bienvenida al Mundo Tech,¿Qué es un robot?,video,8 min,2,https://www.youtube.com/watch?v=3XGKrPBIIjo,"Un robot es una máquina especial que puede moverse y hacer tareas. Algunos robots limpian casas, otros construyen carros.",false,robotica
inicial-1,Bienvenida al Mundo Tech,Robots en nuestra vida,activity,15 min,3,,"Actividad: Busca robots a tu alrededor. Dibuja tu robot favorito y compártelo con la clase.",false,robotica
inicial-1,Bienvenida al Mundo Tech,Colores de la tecnología,activity,10 min,4,,"Los robots usan luces de colores para comunicarse. Verde = todo bien, rojo = atención, amarillo = espera.",false,robotica
inicial-1,Bienvenida al Mundo Tech,Mi primer dibujo digital,tutorial,15 min,5,https://www.youtube.com/watch?v=pmXfUMhUqFY,"Usaremos Scratch Jr para hacer nuestro primer dibujo en la computadora.",false,robotica
inicial-1,Formas y Patrones,Formas geométricas,video,10 min,6,https://www.youtube.com/watch?v=WTeqUejf3D0,"Los robots están hechos de formas: cuadrados, círculos, triángulos y rectángulos.",false,robotica
inicial-1,Formas y Patrones,Construyendo con bloques,activity,20 min,7,,"Actividad práctica: Usando bloques de construcción, crearemos figuras simples.",false,robotica
inicial-1,Formas y Patrones,Patrones y secuencias,tutorial,15 min,8,,"Un patrón es algo que se repite: rojo-azul-rojo-azul. Los robots siguen patrones.",false,robotica
inicial-1,Formas y Patrones,Proyecto: Mi robot de formas,project,25 min,9,,"Proyecto: Construiremos un robot usando solo formas geométricas con papel y tijeras.",false,robotica
inicial-1,Movimiento y Dirección,Arriba abajo izquierda derecha,video,8 min,10,,"Los robots necesitan saber direcciones para moverse. Aprenderemos las cuatro direcciones básicas.",false,robotica
inicial-1,Movimiento y Dirección,El juego del robot,activity,20 min,11,,"¡Juguemos a ser robots! Un niño será el programador y dará instrucciones.",false,robotica
inicial-1,Movimiento y Dirección,Laberintos simples,tutorial,15 min,12,,"Ayudaremos a un robot virtual a salir de un laberinto usando flechas.",false,robotica
inicial-1,Movimiento y Dirección,Proyecto: Mapa del tesoro,project,25 min,13,,"Crearemos un mapa del tesoro con instrucciones para que un robot encuentre el tesoro.",false,robotica
inicial-1,Mi Primer Programa,¿Qué es programar?,video,10 min,14,,"Programar es darle instrucciones a una computadora. Es como escribir una receta de cocina.",false,robotica
inicial-1,Mi Primer Programa,Scratch Jr: Primeros pasos,tutorial,20 min,15,,"Abriremos Scratch Jr y conoceremos la interfaz con bloques de colores.",false,robotica
